SOL,PARAMETER,Period, Value 
3166,Agri_JL,Jul-26, 3755.71 
3166,Agri_JL,Aug-26, 3837.45 
3166,Agri_JL,Sep-26, 3919.18 
3166,Agri_JL,Oct-26, 4017.26 
3166,Agri_JL,Nov-26, 4115.34 
3166,Agri_JL,Dec-26, 4213.42 
3166,Agri_JL,Jan-27, 4295.15 
3166,Agri_JL,Feb-27, 4376.89 
3166,Agri_JL,Mar-27, 4458.62 
3346,Agri_JL,Mar-26, 2858.97 
3346,Agri_JL,Apr-26, 2925.64 
3346,Agri_JL,May-26, 2992.31 
3346,Agri_JL,Jun-26, 3058.97 
3346,Agri_JL,Jul-26, 3142.31 
3346,Agri_JL,Aug-26, 3225.64 
3346,Agri_JL,Sep-26, 3308.97 
3346,Agri_JL,Oct-26, 3408.97 
